Kanton;Geschlecht;Altersklasse;2013;2023
Aargau;Mann;70-79 Jahre;NA;NA
Aargau;Mann;80-89 Jahre;NA;0
Aargau;Mann;90 Jahre und +;0;0
Aargau;Mann;ohne Angabe;0;0
Aargau;Frau;Altersklasse - Total;80;83
Aargau;Frau;<10 Jahre;0;0
Aargau;Frau;10-14 Jahre;5;8
Aargau;Frau;15-17 Jahre;12;3
Aargau;Frau;18-19 Jahre;3;1
Aargau;Frau;20-24 Jahre;15;8
Aargau;Frau;25-29 Jahre;10;12
Aargau;Frau;30-34 Jahre;4;10
Aargau;Frau;35-39 Jahre;6;6
Aargau;Frau;40-44 Jahre;8;8
Aargau;Frau;45-49 Jahre;6;7
Aargau;Frau;50-54 Jahre;4;6
Aargau;Frau;55-59 Jahre;NA;8
Aargau;Frau;60-64 Jahre;NA;NA
Aargau;Frau;65-69 Jahre;0;NA
Aargau;Frau;70-79 Jahre;NA;NA
Aargau;Frau;80-89 Jahre;NA;0
Aargau;Frau;90 Jahre und +;0;0
Aargau;Frau;ohne Angabe;0;0
Vaud;Geschlecht - Total;Altersklasse - Total;808;834
Vaud;Geschlecht - Total;<10 Jahre;0;0
Vaud;Geschlecht - Total;10-14 Jahre;37;37
Vaud;Geschlecht - Total;15-17 Jahre;77;96
Vaud;Geschlecht - Total;18-19 Jahre;75;51
Vaud;Geschlecht - Total;20-24 Jahre;145;120
Vaud;Geschlecht - Total;25-29 Jahre;111;91
Vaud;Geschlecht - Total;30-34 Jahre;107;116
Vaud;Geschlecht - Total;35-39 Jahre;75;91
Vaud;Geschlecht - Total;40-44 Jahre;58;72
Vaud;Geschlecht - Total;45-49 Jahre;36;55
Vaud;Geschlecht - Total;50-54 Jahre;39;34
Vaud;Geschlecht - Total;55-59 Jahre;19;32
Vaud;Geschlecht - Total;60-64 Jahre;19;22
Vaud;Geschlecht - Total;65-69 Jahre;3;9
Vaud;Geschlecht - Total;70-79 Jahre;4;7
Vaud;Geschlecht - Total;80-89 Jahre;2;1
Vaud;Geschlecht - Total;90 Jahre und +;0;0
Vaud;Geschlecht - Total;ohne Angabe;1;0
Vaud;Mann;Altersklasse - Total;633;648
Vaud;Mann;<10 Jahre;0;0
Vaud;Mann;10-14 Jahre;30;33
Vaud;Mann;15-17 Jahre;57;81
Vaud;Mann;18-19 Jahre;52;48
Vaud;Mann;20-24 Jahre;121;97
Vaud;Mann;25-29 Jahre;98;67
Vaud;Mann;30-34 Jahre;89;96
Vaud;Mann;35-39 Jahre;54;74
Vaud;Mann;40-44 Jahre;39;46
Vaud;Mann;45-49 Jahre;29;35
Vaud;Mann;50-54 Jahre;29;22
Vaud;Mann;55-59 Jahre;15;22
Vaud;Mann;60-64 Jahre;14;14
Vaud;Mann;65-69 Jahre;NA;NA
Vaud;Mann;70-79 Jahre;NA;NA
Vaud;Mann;80-89 Jahre;NA;NA
Vaud;Mann;90 Jahre und +;0;0
Vaud;Mann;ohne Angabe;NA;0
Vaud;Frau;Altersklasse - Total;175;186
Vaud;Frau;<10 Jahre;0;0
Vaud;Frau;10-14 Jahre;7;4
Vaud;Frau;15-17 Jahre;20;15
Vaud;Frau;18-19 Jahre;23;3
Vaud;Frau;20-24 Jahre;24;23
Vaud;Frau;25-29 Jahre;13;24
Vaud;Frau;30-34 Jahre;18;20
Vaud;Frau;35-39 Jahre;21;17
Vaud;Frau;40-44 Jahre;19;26
Vaud;Frau;45-49 Jahre;7;20
Vaud;Frau;50-54 Jahre;10;12
Vaud;Frau;55-59 Jahre;4;10
Vaud;Frau;60-64 Jahre;5;8
Vaud;Frau;65-69 Jahre;NA;NA
Vaud;Frau;70-79 Jahre;NA;NA
Vaud;Frau;80-89 Jahre;NA;NA
Vaud;Frau;90 Jahre und +;0;0
Vaud;Frau;ohne Angabe;NA;0
